Resort,ResortRegion,StateOrProvince,Latitude,Longitude,SkiableAcres,VerticalDrop,AnnualSnowfall
Alta,Rockies,Utah,40.58827,-111.63799,2614,2538,545
Alyeska,West Coast,Alaska,60.9705,-149.0982,1400,3200,409
Arapahoe Basin,Rockies,Colorado,39.64167,-105.87167,1428,2530,350
Aspen Highlands,Rockies,Colorado,39.18226,-106.85768,1010,3638,300
Aspen Mountain,Rockies,Colorado,39.18626,-106.82042,673,3267,300
Banff Sunshine,Rockies,Alberta,51.078,-115.78549,3358,3510,360
Big Bear Mountain Resort,West Coast,California,34.22766,-116.86092,678,1665,100
Big Sky,Rockies,Montana,45.28573,-111.4034,5850,4350,400
Blue Mountain,Midwest,Ontario,44.50335,-80.31311,364,720,120
Blue Mountain Resort,Mid-Atlantic,Pennsylvania,40.82222,-75.51333,164,1084,33
Boyne Mountain,Midwest,Michigan,45.16415,-84.93147,415,500,140
Brighton,Rockies,Utah,40.5982,-111.58358,1050,1745,500
Buck Hill,Midwest,Minnesota,44.72484,-93.28371,45,262,60
Buttermilk,Rockies,Colorado,39.20579,-106.86268,435,2030,200
Camelback Resort,Mid-Atlantic,Pennsylvania,41.05139,-75.35528,166,800,50
Cervino Ski Paradise,Europe,,45.93413,7.63066,0,6086,223
Chamonix Mont-Blanc,Europe,,45.923,6.87045,29405,7326,264
Copper Mountain,Rockies,Colorado,39.5,-106.14821,2538,2601,305
Coronet Peak,Australia / New Zealand,,-44.92717,168.73408,691,1516,78
Courmayeur Mont Blanc,Europe,,45.7909,6.96253,0,4980,115
Cranmore,Northeast,New Hampshire,44.05638,-71.11078,170,1200,80
Crystal Mountain,West Coast,Washington,46.93533,-121.47704,2600,3100,486
Cypress Mountain,West Coast,British Columbia,49.39602,-123.20681,600,2008,426
Deer Valley,Rockies,Utah,40.63738,-111.48049,3700,3040,300
Dolomiti Superski,Europe,,46.53333,12.13333,29652,5954,300
Eldora Mountain,Rockies,Colorado,39.93774,-105.58634,680,1240,300
Grandvalira,Europe,,42.57835,1.64598,10000,3051,216
Ischgl,Europe,,47.01012,10.28852,1273,4904,244
Jackson Hole,Rockies,Wyoming,43.58764,-110.82772,2500,4139,459
Jiminy Peak,Northeast,Massachusetts,42.55603,-73.29105,167,1150,71
June Mountain,West Coast,California,37.76792,-119.09282,1500,2590,250
Killington,Northeast,Vermont,43.62573,-72.79827,1509,3050,250
Kitzbühel,Europe,,47.44351,12.38964,5732,3937,300
La Thuile - Espace San Bernardo,Europe,,45.71242,6.94892,0,3678,165
Lake Louise,Rockies,Alberta,51.44192,-116.16436,4200,3251,179
Le Massif de Charlevoix,Northeast,Quebec,47.27886,-70.60946,406,2526,252
Loon Mountain,Northeast,New Hampshire,44.05644,-71.63545,370,2100,160
Lotte Arai Resort,Japan,,36.99095,138.18141,529,3120,620
Mammoth Mountain,West Coast,California,37.65087,-119.039,3500,3100,400
Monterosa Ski,Europe,,45.85469,7.73321,0,6768,104
Mt Buller,Australia / New Zealand,,-37.14621,146.44964,741,1411,95
Mt Hutt,Australia / New Zealand,,-43.49561,171.54003,902,2241,157
Mt. Bachelor,West Coast,Oregon,44.00287,-121.67916,4318,3365,462
Niseko United,Japan,,42.86395,140.69468,2889,3438,590
Norquay,Rockies,Alberta,51.2015,-115.60209,190,1650,118
Palisades Tahoe,West Coast,California,39.19698,-120.23876,6000,2850,450
Panorama,Rockies,British Columbia,50.46028,-116.23833,2975,4265,204
Pico,Northeast,Vermont,43.6618,-72.84333,468,1967,250
Pila,Europe,,45.69021,7.31018,0,3806,0
RED Mountain,Rockies,British Columbia,49.10224,-117.81961,3850,2919,300
Revelstoke,Rockies,British Columbia,50.95844,-118.16598,3121,5620,394
Schweitzer,Rockies,Idaho,48.36798,-116.62274,2900,2440,300
Sierra-at-Tahoe,West Coast,California,38.8002,-120.0804,2000,2212,480
Snow Valley,West Coast,California,34.22485,-117.03604,240,1041,150
Snowbasin,Rockies,Utah,41.21605,-111.85909,3000,2959,350
Snowbird,Rockies,Utah,40.5811,-111.65904,2500,3240,500
Snowmass,Rockies,Colorado,39.20828,-106.95236,3362,4406,300
Snowshoe,Mid-Atlantic,West Virginia,38.4108,-79.99579,257,1500,180
Solitude,Rockies,Utah,40.61985,-111.59407,1200,2494,500
St. Moritz,Europe,,46.48466,9.83279,86487,4386,369
Steamboat,Rockies,Colorado,40.45717,-106.80672,3741,3668,336
Stratton,Northeast,Vermont,43.11342,-72.91032,670,2003,180
Sugarbush,Northeast,Vermont,44.13526,-72.89562,581,2600,250
Sugarloaf,Northeast,Maine,45.05418,-70.31069,1240,2820,200
Sun Peaks Resort,Rockies,British Columbia,50.88458,-119.88622,4270,2894,237
Sun Valley,Rockies,Idaho,43.67085,-114.37038,2054,3400,220
Sunday River,Northeast,Maine,44.47342,-70.85906,870,2340,167
Taos,Rockies,New Mexico,36.59448,-105.44958,1294,3281,300
The Highlands,Midwest,Michigan,45.47084,-84.93764,435,552,140
The Remarkables,Australia / New Zealand,,-45.05407,168.81212,220,1171,144
The Summit at Snoqualmie,West Coast,Washington,47.42044,-121.42329,1994,1025,428
Thredbo,Australia / New Zealand,,-36.50356,148.30386,1186,2205,83
Tremblant,Northeast,Quebec,46.21351,-74.58488,630,2116,178
Valle Nevado,South America,,-33.35385,-70.25112,2200,2657,324
Wild Mountain,Midwest,Minnesota,45.48885,-92.70534,100,300,40
Winter Park,Rockies,Colorado,39.88254,-105.75742,3081,3060,318
Zermatt,Europe,,46.01481,7.74251,10000,7477,199
